"","Total.Entries","CS","ID","RD1","RD2","RD3","RD4","RD5","R1","R2","R3","R4","R5","RD_sum","R_sum","CurrentLabel","NextLabel"
"1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"4",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"6",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"7",1,0,1,1,1,1,1,1,2,2,2,2,2,1,2,0,0
"8",1,0,1,1,1,1,1,1,3,3,3,3,3,1,3,2,2
"9",1,0,1,1,1,1,1,1,5,5,5,5,5,1,5,0,2
"10",1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2
"11",1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"12",1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13",1,0,1,2,2,2,2,2,3,3,3,3,3,2,3,0,0
"14",1,0,1,2,2,2,2,2,3,3,3,3,3,2,3,1,2
"15",1,0,1,2,2,2,2,2,3,3,3,3,3,2,3,2,2
"16",1,0,1,2,2,2,2,2,4,4,4,4,4,2,4,2,2
"17",1,0,1,2,2,2,2,2,5,5,5,5,5,2,5,0,2
"18",1,0,1,2,2,2,2,2,5,5,5,5,5,2,5,1,2
"19",1,0,1,2,2,2,2,2,6,6,6,6,6,2,6,2,2
"20",1,0,1,2,2,2,2,2,8,8,8,8,8,2,8,2,2
"21",1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"22",1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1
"23",1,0,1,3,3,3,3,3,4,4,4,4,4,3,4,0,1
"24",1,0,1,3,3,3,3,3,4,4,4,4,4,3,4,1,2
"25",1,0,1,3,3,3,3,3,5,5,5,5,5,3,5,0,2
"26",1,0,1,3,3,3,3,3,5,5,5,5,5,3,5,2,2
"27",1,0,1,3,3,3,3,3,6,6,6,6,6,3,6,2,0
"28",1,0,1,3,3,3,3,3,7,7,7,7,7,3,7,2,2
"29",1,0,1,3,3,3,3,3,9,9,9,9,9,3,9,2,2
"30",1,0,1,3,3,3,3,3,10,10,10,10,10,3,10,2,1
