"","CSA","CSB","CSN","RDA1","RDA2","RDA3","RDA4","RDA5","RDA_sum","RDB1","RDB2","RDB3","RDB4","RDB5","RDB_sum","RDN1","RDN2","RDN3","RDN4","RDN5","RDN_sum","RA1","RA2","RA3","RA4","RA5","RA_sum","RB1","RB2","RB3","RB4","RB5","RB_sum","RN1","RN2","RN3","RN4","RN5","RN_sum","CurrentLabel","NextLabel"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2
"8",0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,0.25,1,1,0,0,0,0,0,0,0,0,0,3.25,13,13,0,0,0,0.25,1,1,1,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.5,1,1,2,2
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1.5,3,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1.5,3,3,2,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,2,2,2,4,0,0,0,0,0,0,0,0,0,1,2,2,0,1,2,2,2,4,0,0
"12",0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0,0,0,0,0,0,2
"13",0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0,0,0,0,0,1,0
"14",0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0.25,0.5,0.75,1,1,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,0,0.25,0.5,0.75,1,1,2,1
"15",0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,0,4.75,9.5,14.25,19,19,0,2.25,4.5,6.75,9,9,0,3.75,7.5,11.25,15,15,0,6.25,12.5,18.75,25,25,0,2
