"","pA-0%","pA-25%","pA-50%","pA-75%","pA-100%","pB-0%","pB-25%","pB-50%","pB-75%","pB-100%","pN-0%","pN-25%","pN-50%","pN-75%","pN-100%","CurrentLabel","NextLabel"
"1",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,1,1,2,1
"3",0,0,0,0,0,0,0.125,0.25,0.375,0.5,0.5,0.625,0.75,0.875,1,2,2
"4",0,0,0,0,0,0,0.166666666666667,0.333333333333333,0.583333333333333,0.833333333333333,0.166666666666667,0.416666666666667,0.666666666666667,0.833333333333333,1,2,2
"5",0,0,0,0,0,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,1,2
"6",0,0,0,0,0,0,0.75,1,1,1,0,0,0,0.25,1,2,1
"7",0,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2,2
"8",0,0,0,0,0,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,1,2
"9",0,0,0,0,0.333333333333333,0.666666666666667,1,1,1,1,0,0,0,0,0,1,1
"10",0,0,0,0,0.341463414634146,0,0.333333333333333,0.48780487804878,0.5,1,0,0.170731707317073,0.5,0.666666666666667,1,1,0
"11",0,0,0,0,0.341463414634146,0,0.333333333333333,0.48780487804878,0.5,1,0,0.170731707317073,0.5,0.666666666666667,1,2,1
"12",0,0,0,0,0.480769230769231,0,0,0.25,0.666666666666667,1,0,0.269230769230769,0.333333333333333,1,1,2,1
"13",0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,1,1,1,1,2,2
"14",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2
"15",0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
"16",0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,2
"17",0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,2
"18",0,0,0,0.04,0.295081967213115,0.142857142857143,0.439890710382514,0.735,0.97,1,0,0.03,0.174754098360656,0.442857142857143,0.666666666666667,1,1
"19",0,0,0,0.0416666666666667,0.166666666666667,0,0.1875,0.425,0.7,1,0,0.3,0.491666666666667,0.6875,1,2,1
"20",0,0,0,0.0603932584269663,0.241573033707865,0.589887640449438,0.89747191011236,1,1,1,0,0,0,0.0421348314606742,0.168539325842697,1,1
"21",0,0,0,0.0637254901960784,0.295081967213115,0.475409836065574,0.541666666666667,0.761904761904762,0.9,1,0,0.1,0.166199813258637,0.255464480874317,0.5,1,1
